"","container.title","published.print","doi","issue","title","volume","author","issn"
"15","American Economic Journal: Applied Economics","2011-04-01","10.1257/app.3.2.i","2","April 2011: Volume 3, Number 2","3","NULL","1945-7790"
"16","American Economic Journal: Applied Economics","2015-01-01","10.1257/app.7.1.i","1","Front Matter","7","NULL","1945-7790"
"17","American Economic Journal: Applied Economics","2011-10-01","10.1257/app.3.4.i","4","October 2011: Volume 3, Number 4","3","NULL","1945-7790"
"18","American Economic Journal: Applied Economics","2018-07-01","10.1257/app.10.3.i","3","Front Matter","10","NULL","1945-7790"
"19","American Economic Journal: Applied Economics","2015-04-01","10.1257/app.7.2.i","2","Front Matter","7","NULL","1945-7790"
"20","American Economic Journal: Applied Economics","2020-01-01","10.1257/app.20170579","1","Tipping and the Effects of Segregation","12","list(given = c(""Anders"", ""Alexander""), family = c(""Böhlmark"", ""Willén""), sequence = c(""first"", ""additional""), affiliation.name = c(""Swedish Institute for Social Research (SOFI), Stockholm University, 10691 Stockholm, Sweden (email: )"", ""Department of Economics, Norwegian School of Economics, 5045 Bergen, Norway (email: )""))","1945-7790"
"21","American Economic Journal: Applied Economics","2020-07-01","10.1257/app.20180698","3","What is the Added Value of Preschool for Poor Children? Long-Term and Intergenerational Impacts and Interactions with an Infant Health Intervention","12","list(given = c(""Maya"", ""Miriam""), family = c(""Rossin-Slater"", ""Wüst""), sequence = c(""first"", ""additional""), affiliation.name = c(""Stanford University, 259 Campus Drive, Redwood Building T101C, Stanford, CA 94305, NBER, and IZA (email: )"", ""University of Copenhagen, Øster Farimagsgade 5, Building 26, 1353 København K, Denmark, and VIVE-The Danish Center for Social Science Research (email: )""))","1945-7790"
"22","American Economic Journal: Applied Economics","2016-04-01","10.1257/app.20140473","2","Market Impacts of a Nuclear Power Plant Closure","8","list(given = c(""Lucas"", ""Catherine""), family = c(""Davis"", ""Hausman""), sequence = c(""first"", ""additional""), affiliation.name = c(""Haas School of Business, University of California, Berkeley, CA 94720 and National Bureau of Economic Research (NBER) (e-mail: )"", ""Ford School of Public Policy, 735 South State Street, University of Michigan, Ann Arbor, MI 48109 and NBER (e-mail: )""))","1945-7790"
"23","American Economic Journal: Applied Economics","2020-10-01","10.1257/app.20170599","4","Increasing Access to Selective High Schools through Place-Based Affirmative Action: Unintended Consequences","12","list(given = c(""Lisa"", ""Lauren"", ""Marisa""), family = c(""Barrow"", ""Sartain"", ""de la Torre""), sequence = c(""first"", ""additional"", ""additional""), affiliation.name = c(""Federal Reserve Bank of Chicago, 230 S. LaSalle Street, Chicago, IL 60604 (email: )"", ""University of North Carolina at Chapel Hill School of Education, 107 Peabody Hall, CB 3500, Chapel Hill, NC 27599 and University of Chicago Consortium on School Research, 1313 E. 60th Street, Chicago, IL 60637 (email: )"", ""University of Chicago Consortium on School Research, 1313 E. 60th Street, Chicago, IL 60637 (email: )""
))","1945-7790"
"24","American Economic Journal: Applied Economics","2013-07-01","10.1257/app.5.3.211","3","Experimental Evidence on the Effects of Home Computers on Academic Achievement among Schoolchildren","5","list(given = c(""Robert W"", ""Jonathan""), family = c(""Fairlie"", ""Robinson""), sequence = c(""first"", ""additional""), affiliation.name = c(""Department of Economics, University of California, Santa Cruz, CA 95064."", ""Department of Economics, University of California, Santa Cruz, CA 95064.""))","1945-7790"
"25","American Economic Journal: Applied Economics","2019-04-01","10.1257/app.20170117","2","Adverse Selection in ACA Exchange Markets: Evidence from Colorado","11","list(given = ""Matthew"", family = ""Panhans"", sequence = ""first"", affiliation.name = ""Federal Trade Commission, 600 Pennsylvania Ave. NW, Washington, DC 20580 (email: )"")","1945-7790"
"26","American Economic Journal: Applied Economics","2014-07-01","10.1257/app.6.3.1","3","Default Tips","6","list(given = c(""Kareem"", ""Giovanni""), family = c(""Haggag"", ""Paci""), sequence = c(""first"", ""additional""), affiliation.name = c(""University of Chicago, Booth School of Business, 5807 South Woodlawn Avenue, Chicago, IL 60637 (e-mail: )"", ""Columbia University, 420 W. 118th St., Room 1022, New York, NY 10027 (e-mail: )""))","1945-7790"
"27","American Economic Journal: Applied Economics","2010-01-01","10.1257/app.2.1.193","1","Present-Biased Preferences and Credit Card Borrowing","2","list(given = c(""Stephan"", ""Charles""), family = c(""Meier"", ""Sprenger""), sequence = c(""first"", ""additional""), affiliation.name = c(""Columbia University, Graduate School of Business, Uris Hall, 3022 Broadway, New York, NY 10027."", ""University of California at San Diego, Department of Economics, 9500 Gilman Drive, La Jolla, CA 92093.""))","1945-7790"
"28","American Economic Journal: Applied Economics","2019-04-01","10.1257/app.20170295","2","Health Care Spending and Utilization in Public and Private Medicare","11","list(given = c(""Vilsa"", ""Liran"", ""Amy"", ""Jonathan"", ""Jay""), family = c(""Curto"", ""Einav"", ""Finkelstein"", ""Levin"", ""Bhattacharya""), sequence = c(""first"", ""additional"", ""additional"", ""additional"", ""additional""), affiliation.name = c(""Department of Health Policy and Management, T.H. Chan School of Public Health, Harvard University, 677 Huntington Avenue, Boston, MA 02115-6028 (email: )"", ""Department of Economics, Stanford University, 579 Serra Mall, Stanford, CA 94305-6072 (email: )"", ""Department of Economics, MIT, 50 Memorial Drive, Cambridge, MA 02142-1347 (email: )"", 
""Graduate School of Business, Stanford University, 655 Knight Way, Stanford, CA 94305-7298 (email: )"", ""School of Medicine, Stanford University, 616 Serra Street, Stanford, CA 94305-6019 (email: )""))","1945-7790"
"29","American Economic Journal: Applied Economics","2015-07-01","10.1257/app.20140185","3","Unintended Effects of Anonymous Résumés","7","list(given = c(""Luc"", ""Bruno"", ""Thomas""), family = c(""Behaghel"", ""Crépon"", ""Le Barbanchon""), sequence = c(""first"", ""additional"", ""additional""), affiliation.name = c(""Paris School of Economics-Inra, 48, Boulevard Jourdan, 75014 Paris, France, (e-mail: )"", ""Crest, 15 Boulevard Gabriel Peri, 92245 Malakoff, France (e-mail: )"", ""Crest, 15 Boulevard Gabriel Peri, 92245 Malakoff, France (e-mail: )""))","1945-7790"
"30","American Economic Journal: Applied Economics","2015-10-01","10.1257/app.20140111","4","The Judge, the Politician, and the Press: Newspaper Coverage and Criminal Sentencing across Electoral Systems","7","list(given = c(""Claire S. H."", ""James M."", ""David""), family = c(""Lim"", ""Snyder"", ""Strömberg""), sequence = c(""first"", ""additional"", ""additional""), affiliation.name = c(""Department of Economics, Cornell University, 404 Uris Hall, Ithaca, NY 14853 (e-mail: )."", ""Department of Government, Harvard University, 1737 Cambridge Street, Cambridge, MA 02138 (e-mail: )."", ""Institute for International Economic Studies, Stockholm University, SE-106 91, Stockholm, Sweden (e-mail: ).""), suffix = c(NA, ""Jr."", NA))","1945-7790"
"31","American Economic Journal: Applied Economics","2011-01-01","10.1257/app.3.1.91","1","Menstruation, Sanitary Products, and School Attendance: Evidence from a Randomized Evaluation","3","list(given = c(""Emily"", ""Rebecca""), family = c(""Oster"", ""Thornton""), sequence = c(""first"", ""additional""), affiliation.name = c(""University of Chicago, 5807 South Woodlawn Ave, Chicago, IL 60622 and National Bureau of Economic Research."", ""University of Michigan, 611 Tapan St, Ann Arbor, MI 48106.""))","1945-7790"
"32","American Economic Journal: Applied Economics","2021-07-01","10.1257/app.20170604","3","Family Labor Supply Responses to Severe Health Shocks: Evidence from Danish Administrative Records","13","list(given = c(""Itzik"", ""Torben Heien""), family = c(""Fadlon"", ""Nielsen""), sequence = c(""first"", ""additional""), affiliation.name = c(""Department of Economics, University of California, and NBER (email: )"", ""Department of Economics, University of Copenhagen, and the Center for Economic Behavior and Inequality (CEBI) (email: )""))","1945-7790"
"33","American Economic Journal: Applied Economics","2009-03-01","10.1257/app.1.2.53","2","Income Inequality and Progressive Income Taxation in China and India, 1986–2015","1","list(given = c(""Thomas"", ""Nancy""), family = c(""Piketty"", ""Qian""), sequence = c(""first"", ""additional""), affiliation.name = c(""Paris School of Economics (PSE), 48 Boulevard Jourdan, 75014 Paris, France."", ""Brown University, Box B, Department of Economics, Providence, RI 02912.""))","1945-7790"
"34","American Economic Journal: Applied Economics","2019-07-01","10.1257/app.20170430","3","Supporting Community College Students from Start to Degree Completion: Long-Term Evidence from a Randomized Trial of CUNY’s ASAP","11","list(given = c(""Michael J."", ""Alyssa"", ""Colleen"", ""Himani""), family = c(""Weiss"", ""Ratledge"", ""Sommo"", ""Gupta""), sequence = c(""first"", ""additional"", ""additional"", ""additional""), affiliation.name = c(""MDRC, 200 Vesey Street, 23rd Floor, New York, NY 10281 (email: )"", ""MDRC, 200 Vesey Street, 23rd Floor, New York, NY 10281 (email: )"", ""MDRC, 200 Vesey Street, 23rd Floor, New York, NY 10281 (email: )"", ""348 Palisade Ave, Apt 301, Jersey City, NJ 07307 (email: )""))","1945-7790"
"35","American Economic Journal: Applied Economics","2012-10-01","10.1257/app.4.4.57","4","Can Compulsory Military Service Raise Civilian Wages? Evidence from the Peacetime Draft in Portugal","4","list(given = c(""David"", ""Ana Rute""), family = c(""Card"", ""Cardoso""), sequence = c(""first"", ""additional""), affiliation.name = c(""University of California, Berkeley, Department of Economics, 508-1 Evans Hall 3880, Berkeley, CA 94720-3880 and National Bureau of Economic Research (NBER)."", ""IAE-CSIC and Barcelona GSE; Campus UAB, 08193 Bellaterra, Barcelona, Spain.""))","1945-7790"
"36","American Economic Journal: Applied Economics","2016-07-01","10.1257/app.20130034","3","Does Merger Simulation Work? Evidence from the Swedish Analgesics Market","8","list(given = c(""Jonas"", ""Frank""), family = c(""Björnerstedt"", ""Verboven""), sequence = c(""first"", ""additional""), affiliation.name = c(""Department of Economics, Södertörn University and KU Leuven, Naamsestraat 69, B-3000 Leuven, Belgium (e-mail: )"", ""Department of Economics, KU Leuven, Naamsestraat 69, B-3000 Leuven, Belgium (e-mail: )""))","1945-7790"
"37","American Economic Journal: Applied Economics","2011-10-01","10.1257/app.3.4.29","4","Public Provision and Protection of Natural Resources: Groundwater Irrigation in Rural India","3","list(given = ""Sheetal"", family = ""Sekhri"", sequence = ""first"", affiliation.name = ""University of Virginia, PO Box 400182, Charlottesville, VA 22904."")","1945-7790"
"38","American Economic Journal: Applied Economics","2014-07-01","10.1257/app.6.3.76","3","Wells, Water, and Welfare: The Impact of Access to Groundwater on Rural Poverty and Conflict","6","list(given = ""Sheetal"", family = ""Sekhri"", sequence = ""first"", affiliation.name = ""University of Virginia, PO Box 400182, Department of Economics, Monroe Hall, Charlottesville, VA 22904-4182, (e-mail: )"")","1945-7790"
"39","American Economic Journal: Applied Economics","2009-09-01","10.1257/app.1.4.109","4","Consumption Responses to In-Kind Transfers: Evidence from the Introduction of the Food Stamp Program","1","list(given = c(""Hilary W"", ""Diane Whitmore""), family = c(""Hoynes"", ""Schanzenbach""), sequence = c(""first"", ""additional""), affiliation.name = c(""Department of Economics, University of California at Davis, 1152 Social Sciences and Humanities Building, Davis, CA 95616, and National Bureau of Economic Research."", ""Harris School of Public Policy Studies, University of Chicago, 1155 E. 60th Street, Chicago, IL 60637, and National Bureau of Economic Research.""))","1945-7790"
"40","American Economic Journal: Applied Economics","2019-10-01","10.1257/app.20180286","4","Peer Effects in Legislative Voting","11","list(given = c(""Nikolaj"", ""Raymond"", ""Emir""), family = c(""Harmon"", ""Fisman"", ""Kamenica""), sequence = c(""first"", ""additional"", ""additional""), affiliation.name = c(""Department of Economics, University of Copenhagen, Oster Farimagsgade 5, Building 26, 1353 Copenhagen K, Denmark (email: )"", ""Department of Economics, Boston University, 270 Bay State Road, Boston, MA 02215 (email: )"", ""The University of Chicago Booth School of Business, 5807 South Woodlawn Avenue, Chicago, IL 60637 (email: )""))","1945-7790"
"41","American Economic Journal: Applied Economics","2019-10-01","10.1257/app.20170085","4","Minimum Wages and the Distribution of Family Incomes","11","list(given = ""Arindrajit"", family = ""Dube"", sequence = ""first"", affiliation.name = ""Crotty Hall, University of Massachusetts, Amherst, MA 01002 and NBER (email: )"")","1945-7790"
"42","American Economic Journal: Applied Economics","2018-10-01","10.1257/app.20170077","4","Role Models or Individual Consulting: The Impact of Personalizing Micro-entrepreneurship Training","10","list(given = c(""Jeanne"", ""Julio"", ""José""), family = c(""Lafortune"", ""Riutort"", ""Tessada""), sequence = c(""first"", ""additional"", ""additional""), affiliation.name = c(""Pontificia Universidad Católica de Chile, JPAL, and IZA, Avenida Vicuña Mackenna 4860, Macul, Santiago, Chile (email: )"", ""Universidad Adolfo Ibáñez, Diagonal Las Torres 2640, Peñalolén, Santiago, Chile (email: )"", ""Pontificia Universidad Católica de Chile, and Finance UC, Avenida Vicu¯na Mackenna 4860, Macul, Santiago, Chile (email: )""
))","1945-7790"
"43","American Economic Journal: Applied Economics","2020-04-01","10.1257/app.20180369","2","Do Management Interventions Last? Evidence from India","12","list(given = c(""Nicholas"", ""Aprajit"", ""David"", ""John""), family = c(""Bloom"", ""Mahajan"", ""McKenzie"", ""Roberts""), sequence = c(""first"", ""additional"", ""additional"", ""additional""), affiliation.name = c(""Stanford University, 579 Serra Mall, Stanford, CA 94305 (email: )"", ""University of California, Berkeley, 289 University Hall, Berkeley, CA 94720 (email: )"", ""Development Research Group, the World Bank, MSN MC3-307, 1818 H Street NW, Washington, DC 20433 (email: )"", ""Stanford University, Faculty Building W311, 655 Knight Way, Stanford, CA 94305.""
))","1945-7790"
"44","American Economic Journal: Applied Economics","2013-07-01","10.1257/app.5.3.41","3","The Effects of “Girl-Friendly” Schools: Evidence from the BRIGHT School Construction Program in Burkina Faso","5","list(given = c(""Harounan"", ""Dan"", ""Leigh L"", ""Matt""), family = c(""Kazianga"", ""Levy"", ""Linden"", ""Sloan""), sequence = c(""first"", ""additional"", ""additional"", ""additional""), affiliation.name = c(""Department of Economics, Oklahoma State University 324 Business Building, Stillwater, OK 74708."", ""John F. Kennedy School of Government, Harvard University, Mailbox 51, 79 JFK Street, Cambridge, MA 02138."", ""Department of Economics, The University of Texas at Austin, 2225 Speedway, C3100, Austin, TX 78712 Bureau for Research and Economic Analysis of Development (BREAD), Innovations for Poverty Action (IPA), the Institute for the Study of Labor (IZA), The Abdul Latif Jameel Poverty Action Lab (J-PAL), and the National Bureau of Economic Research (NBER)."", 
""Mathematica Policy Research, 1100 1st Street, NE, 12th Floor, Washington, DC 20002.""))","1945-7790"
"45","American Economic Journal: Applied Economics","2014-10-01","10.1257/app.6.4.197","4","Soil Endowments, Female Labor Force Participation, and the Demographic Deficit of Women in India","6","list(given = ""Eliana"", family = ""Carranza"", sequence = ""first"", affiliation.name = ""World Bank, 1818 H St. NW, Washington, DC 20433 (e-mail: )."")","1945-7790"
"46","American Economic Journal: Applied Economics","2016-07-01","10.1257/app.20150004","3","Regulation of Insurance with Adverse Selection and Switching Costs: Evidence from Medicare Part D","8","list(given = ""Maria"", family = ""Polyakova"", sequence = ""first"", affiliation.name = ""Department of Health Research and Policy, Stanford University, 150 Governor’s Lane, Stanford, CA 94305, and National Bureau of Economic Research (e-mail: )"")","1945-7790"
"47","American Economic Journal: Applied Economics","2018-01-01","10.1257/app.20150581","1","Hospitals as Insurers of Last Resort","10","list(given = c(""Craig"", ""Tal"", ""Matthew J.""), family = c(""Garthwaite"", ""Gross"", ""Notowidigdo""), sequence = c(""first"", ""additional"", ""additional""), affiliation.name = c(""Kellogg School of Management, Northwestern University, 2001 Sheridan Road, Evanston, IL 60208 (email: )"", ""Questrom School of Business, Boston University, 595 Commonwealth Ave., Boston, MA 02215 (email: )"", ""Department of Economics, Northwestern University, 2001 Sheridan Road, Evanston, IL 60208 (email: )""))","1945-7790"
"48","American Economic Journal: Applied Economics","2011-10-01","10.1257/app.3.4.228","4","Re-examining Economic Shocks and Civil Conflict","3","list(given = c(""Edward"", ""Shanker""), family = c(""Miguel"", ""Satyanath""), sequence = c(""first"", ""additional""), affiliation.name = c(""Department of Economics, University of California, Berkeley, 508-1 Evans Hall #3880, Berkeley, CA 94720-3880 and National Bureau of Economic Research."", ""Department of Politics, New York University, 19 W. 4th Street, New York, NY 10012.""))","1945-7790"
"49","American Economic Journal: Applied Economics","2020-07-01","10.1257/app.20180426","3","Gender Differences in the Choice of Major: The Importance of Female Role Models","12","list(given = c(""Catherine"", ""Danila""), family = c(""Porter"", ""Serra""), sequence = c(""first"", ""additional""), affiliation.name = c(""Lancaster University Management School, Lancaster LA14YX, UK (email: )"", ""Department of Economics, Texas A&M University, 3094 Allen Building, College Station, TX 77843 (email: )""))","1945-7790"
"50","American Economic Journal: Applied Economics","2017-07-01","10.1257/app.20160214","3","Conflicts of Interest and Steering in Residential Brokerage","9","list(given = c(""Panle Jia"", ""Parag A."", ""Maisy""), family = c(""Barwick"", ""Pathak"", ""Wong""), sequence = c(""first"", ""additional"", ""additional""), affiliation.name = c(""Department of Economics, Cornell University, 462 Uris Hall, Ithaca, NY 14853 and NBER (email: )"", ""MIT, 50 Memorial Drive, Cambridge, MA 02142 and NBER (email: )"", ""Wharton Real Estate, 3620 Locust Walk, Philadelphia, PA 19104 (email: )""))","1945-7790"
"51","American Economic Journal: Applied Economics","2019-07-01","10.1257/app.20170201","3","Reducing Child Mortality in the Last Mile: Experimental Evidence on Community Health Promoters in Uganda","11","list(given = c(""Martina Björkman"", ""Andrea"", ""Jakob"", ""David""), family = c(""Nyqvist"", ""Guariso"", ""Svensson"", ""Yanagizawa-Drott""), sequence = c(""first"", ""additional"", ""additional"", ""additional""), affiliation.name = c(""Department of Economics, Stockholm School of Economics, P.O. Box 6501, Sveavägen 65, SE-113 83 Stockholm, and CEPR (email: )"", ""Department of Economics, Trinity College Dublin, Arts Building, Dublin 2, Ireland, and LICOS (email: )"", ""Institute for International Economic Studies, Stockholm University, 106 91 Stockholm, Sweden, and CEPR (email: )"", 
""Department of Economics, University of Zurich, Schönberggasse 1, 8001 Zurich, Switzerland (email: )""))","1945-7790"
"52","American Economic Journal: Applied Economics","2012-07-01","10.1257/app.4.3.225","3","The Opt-In Revolution? Contraception and the Gender Gap in Wages","4","list(given = c(""Martha J"", ""Brad"", ""Amalia R""), family = c(""Bailey"", ""Hershbein"", ""Miller""), sequence = c(""first"", ""additional"", ""additional""), affiliation.name = c(""Department of Economics, University of Michigan, 611 Tappan Street, Ann Arbor, MI, 48109."", ""Department of Economics, University of Michigan, 611 Tappan Street, Ann Arbor, MI, 48109."", ""Department of Economics, University of Virginia, 237 McCormick Road, Charlottesville, VA 22904.""))","1945-7790"
"53","American Economic Journal: Applied Economics","2012-04-01","10.1257/app.4.2.274","2","Castes and Labor Mobility","4","list(given = c(""Viktoria"", ""Amartya"", ""Sourabh""), family = c(""Hnatkovska"", ""Lahiri"", ""Paul""), sequence = c(""first"", ""additional"", ""additional""), affiliation.name = c(""University of British Columbia, 997-1873 East Mall, Vancouver, BC V6T1Z1, Canada."", ""University of British Columbia, 997-1873 East Mall, Vancouver, BC V6T1Z1, Canada."", ""National Council of Applied Economic Research, Parisila Bhawan, 11 Indraprastha Estate, New Delhi 110002, India.""))","1945-7790"
"54","American Economic Journal: Applied Economics","2017-01-01","10.1257/app.20150397","1","Moving to Opportunity or Isolation? Network Effects of a Randomized Housing Lottery in Urban India","9","list(given = c(""Sharon"", ""Erica"", ""Rohini""), family = c(""Barnhardt"", ""Field"", ""Pande""), sequence = c(""first"", ""additional"", ""additional""), affiliation.name = c(""FLAME University, Centre for Experimental Social Sciences, Pune 412 115, India (e-mail: )"", ""Department of Economics, Duke University, 213 Social Sciences Building, Box 90097, Durham, NC 27708 (e-mail: )"", ""John F. Kennedy School of Government, Harvard University, 79 JFK Street, Box 46, Cambridge, MA 02138 (e-mail: )""))","1945-7790"
"55","American Economic Journal: Applied Economics","2019-10-01","10.1257/app.20170616","4","Trade and Income—Exploiting Time Series in Geography","11","list(given = ""James"", family = ""Feyrer"", sequence = ""first"", affiliation.name = ""Dartmouth College Department of Economics, 6106 Rockefeller, Hanover, NH 03755-3514 (email: )"")","1945-7790"
"56","American Economic Journal: Applied Economics","2016-07-01","10.1257/app.20150295","3","Parental Job Loss and Children's Long-Term Outcomes: Evidence from 7 Million Fathers' Layoffs","8","list(given = ""Nathaniel G."", family = ""Hilger"", sequence = ""first"", affiliation.name = ""Department of Economics, Brown University, 64 Waterman Street, Providence, RI 02906 and NBER (e-mail: )"")","1945-7790"
"57","American Economic Journal: Applied Economics","2014-01-01","10.1257/app.6.1.91","1","The Great Equalizer: Health Care Access and Infant Mortality in Thailand","6","list(given = c(""Jonathan"", ""Nathaniel"", ""Robert M.""), family = c(""Gruber"", ""Hendren"", ""Townsend""), sequence = c(""first"", ""additional"", ""additional""), affiliation.name = c(""Massahusetts Institute of Technology, Department of Economics, 50 Memorial Drive E52, Cambridge, MA 02142 (e-mail: )"", ""Harvard, Littauer Center, 1805 Cambridge Street, Cambridge, MA 02138 and NBER (e-mail: )"", ""Massahusetts Institute of Technology, Department of Economics, 50 Memorial Drive E52, Cambridge, MA 02142 (e-mail: )""
))","1945-7790"
"58","American Economic Journal: Applied Economics","2009-01-01","10.1257/app.1.1.183","1","Biological Gender Differences, Absenteeism, and the Earnings Gap","1","list(given = c(""Andrea"", ""Enrico""), family = c(""Ichino"", ""Moretti""), sequence = c(""first"", ""additional""), affiliation.name = c(""Department of Economics, University of Bologna, Piazza Scaravilla 2, 40126 Bologna, Italy."", ""Department of Economics, University of California, Berkeley, 637 Evans Hall #388, Berkeley, CA.""))","1945-7790"
"59","American Economic Journal: Applied Economics","2016-01-01","10.1257/app.20140262","1","Does Grief Transfer across Generations? Bereavements during Pregnancy and Child Outcomes","8","list(given = c(""Sandra E."", ""Paul J."", ""Kjell G.""), family = c(""Black"", ""Devereux"", ""Salvanes""), sequence = c(""first"", ""additional"", ""additional""), affiliation.name = c(""Department of Economics, University of Texas at Austin, TX 78712, Norwegian School of Economics, Institute for the Study of Labor (IZA) and National Bureau of Economic Research (NBER) (e-mail: )"", ""School of Economics and Geary Institute, University College Dublin, Newman Building, Belfield, Dublin, Ireland, The Center for Economic Policy and Research (CEPR), and IZA (e-mail: )"", 
""Department of Economics, Norwegian School of Economics, Helleveien 30, N-5045 Bergen, CEPR, Center for the Economics of Education (CEP), CES-IFO and IZA (e-mail: )""))","1945-7790"
